trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
404,False,"{'a': 0.01, 'e': 0.017597472415623393}",20,4,22.217183707283738,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.01, 'e': 0.017422374639493515}",25,19,10.020804635528084,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.01, 'e': 0.017249019115346265}",20,2,32.90786685402787,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.01, 'e': 0.017077388507484793}",25,8,6.121459495258756,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
408,False,"{'a': 0.01, 'e': 0.01690746565270528}",25,20,5.482902556982575,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.01, 'e': 0.016739233558580632}",20,7,22.909035895259898,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.01, 'e': 0.016572675401761255}",30,0,39.23894266764615,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
411,False,"{'a': 0.01, 'e': 0.016407774526292645}",30,20,16.470732371856105,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.01, 'e': 0.01624451444194987}",30,6,38.107912810817524,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
413,False,"{'a': 0.01, 'e': 0.016082878822588433}",25,0,37.8336127915744,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
414,False,"{'a': 0.01, 'e': 0.015922851504511698}",35,28,14.214969799340352,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.01, 'e': 0.015764416484854486}",20,8,20.913947623027166,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.01, 'e': 0.01560755791998283}",25,17,15.130509408595795,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
417,False,"{'a': 0.01, 'e': 0.015452260123909515}",20,8,19.547036140671274,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.01, 'e': 0.015298507566725518}",25,12,22.56183805198515,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.01, 'e': 0.01514628487304698}",25,17,15.274697464860898,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.01, 'e': 0.014995576820477703}",20,0,27.89041462259149,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
421,False,"{'a': 0.01, 'e': 0.014846368338086832}",20,0,27.970549725817115,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
422,False,"{'a': 0.01, 'e': 0.014698644504901784}",20,8,20.672904461978266,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.01, 'e': 0.014552390548416123}",25,8,27.6567366302976,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.01, 'e': 0.01440759184311235}",30,23,13.76675805633365,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.01, 'e': 0.014264233908999256}",20,5,14.777739170197611,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.01, 'e': 0.014122302410163962}",20,0,28.380562342752018,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
427,False,"{'a': 0.01, 'e': 0.013981783153338296}",25,7,28.900280079034314,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
